language,filename,DirPath,Returncode,Command,Output,Stdout,Stderr
C++,HaskellToC++.c++,./Projects/Baklava/Executions1\07-27-2024_17h49m02s\HaskellToC++.c++,1,g++ ./Projects/Baklava/Executions1\07-27-2024_17h49m02s\HaskellToC++.c++ -o ./Projects/Baklava/Executions1\07-27-2024_17h49m02s\outputCPP,b'',"./Projects/Baklava/Executions1\07-27-2024_17h49m02s\HaskellToC++.c++: In function 'std::string baklavaGrow(int, int)':
./Projects/Baklava/Executions1\07-27-2024_17h49m02s\HaskellToC++.c++:10:43: error: 'baklavaShrink' was not declared in this scope; did you mean 'baklavaGrow'?
   10 |         return line(0, asterisk) + ""\n"" + baklavaShrink(1, asterisk - 2);
      |                                           ^~~~~~~~~~~~~
      |                                           baklavaGrow
",
C++,HaskellToC++.c++,./Projects/Baklava/Executions1\07-27-2024_17h51m10s\HaskellToC++.c++,1,g++ ./Projects/Baklava/Executions1\07-27-2024_17h51m10s\HaskellToC++.c++ -o ./Projects/Baklava/Executions1\07-27-2024_17h51m10s\outputCPP,b'',"./Projects/Baklava/Executions1\07-27-2024_17h51m10s\HaskellToC++.c++: In function 'std::string baklavaGrow(int, int)':
./Projects/Baklava/Executions1\07-27-2024_17h51m10s\HaskellToC++.c++:10:43: error: 'baklavaShrink' was not declared in this scope; did you mean 'baklavaGrow'?
   10 |         return line(0, asterisk) + ""\n"" + baklavaShrink(1, asterisk - 2);
      |                                           ^~~~~~~~~~~~~
      |                                           baklavaGrow
",
C++,HaskellToC++.c++,./Projects/Baklava/Executions1\07-27-2024_18h26m28s\HaskellToC++.c++,1,g++ ./Projects/Baklava/Executions1\07-27-2024_18h26m28s\HaskellToC++.c++ -o ./Projects/Baklava/Executions1\07-27-2024_18h26m28s\outputCPP,b'',"./Projects/Baklava/Executions1\07-27-2024_18h26m28s\HaskellToC++.c++: In function 'std::string baklavaGrow(int, int)':
./Projects/Baklava/Executions1\07-27-2024_18h26m28s\HaskellToC++.c++:10:43: error: 'baklavaShrink' was not declared in this scope; did you mean 'baklavaGrow'?
   10 |         return line(0, asterisk) + ""\n"" + baklavaShrink(1, asterisk - 2);
      |                                           ^~~~~~~~~~~~~
      |                                           baklavaGrow
",
C++,HaskellToC++.c++,./Projects/Baklava/Executions1\07-27-2024_18h28m33s\HaskellToC++.c++,1,g++ ./Projects/Baklava/Executions1\07-27-2024_18h28m33s\HaskellToC++.c++ -o ./Projects/Baklava/Executions1\07-27-2024_18h28m33s\outputCPP,b'',"./Projects/Baklava/Executions1\07-27-2024_18h28m33s\HaskellToC++.c++: In function 'std::string baklavaGrow(int, int)':
./Projects/Baklava/Executions1\07-27-2024_18h28m33s\HaskellToC++.c++:10:43: error: 'baklavaShrink' was not declared in this scope; did you mean 'baklavaGrow'?
   10 |         return line(0, asterisk) + ""\n"" + baklavaShrink(1, asterisk - 2);
      |                                           ^~~~~~~~~~~~~
      |                                           baklavaGrow
",
C++,HaskellToC++.c++,./Projects/Baklava/Executions1\07-27-2024_18h30m38s\HaskellToC++.c++,1,g++ ./Projects/Baklava/Executions1\07-27-2024_18h30m38s\HaskellToC++.c++ -o ./Projects/Baklava/Executions1\07-27-2024_18h30m38s\outputCPP,b'',"./Projects/Baklava/Executions1\07-27-2024_18h30m38s\HaskellToC++.c++: In function 'std::string baklavaGrow(int, int)':
./Projects/Baklava/Executions1\07-27-2024_18h30m38s\HaskellToC++.c++:10:43: error: 'baklavaShrink' was not declared in this scope; did you mean 'baklavaGrow'?
   10 |         return line(0, asterisk) + ""\n"" + baklavaShrink(1, asterisk - 2);
      |                                           ^~~~~~~~~~~~~
      |                                           baklavaGrow
",
Haskell,C++ToHaskell.hs,./Projects/Baklava/Executions1\07-27-2024_17h49m02s\C++ToHaskell.hs,1,ghc ./Projects/Baklava/Executions1\07-27-2024_17h49m02s\C++ToHaskell.hs -o ./Projects/Baklava/Executions1\07-27-2024_17h49m02s\outputHS,"b'Loaded package environment from C:\\Users\\mager\\AppData\\Roaming\\ghc\\x86_64-mingw32-9.10.1\\environments\\default\r\n[1 of 2] Compiling Main             ( Projects\\Baklava\\Executions1\\07-27-2024_17h49m02s\\C++ToHaskell.hs, Projects\\Baklava\\Executions1\\07-27-2024_17h49m02s\\C++ToHaskell.o )\r\n'","Projects\Baklava\Executions1\07-27-2024_17h49m02s\C++ToHaskell.hs:17:17: error: [GHC-88464]
    Variable not in scope: n
   |
17 |   where half = (n + 1) `div` 2
   |                 ^

Projects\Baklava\Executions1\07-27-2024_17h49m02s\C++ToHaskell.hs:24:17: error: [GHC-88464]
    Variable not in scope: n
   |
24 |   where half = (n + 1) `div` 2
   |                 ^

",
Haskell,C++ToHaskell.hs,./Projects/Baklava/Executions1\07-27-2024_17h51m10s\C++ToHaskell.hs,1,ghc ./Projects/Baklava/Executions1\07-27-2024_17h51m10s\C++ToHaskell.hs -o ./Projects/Baklava/Executions1\07-27-2024_17h51m10s\outputHS,"b'Loaded package environment from C:\\Users\\mager\\AppData\\Roaming\\ghc\\x86_64-mingw32-9.10.1\\environments\\default\r\n[1 of 2] Compiling Main             ( Projects\\Baklava\\Executions1\\07-27-2024_17h51m10s\\C++ToHaskell.hs, Projects\\Baklava\\Executions1\\07-27-2024_17h51m10s\\C++ToHaskell.o )\r\n'","Projects\Baklava\Executions1\07-27-2024_17h51m10s\C++ToHaskell.hs:14:31: error: [GHC-88464]
    Variable not in scope: halfN :: Int
   |
14 |         putStrLn $ replicate (halfN - i) ' ' ++ replicate (2 * i - 1) '*'
   |                               ^^^^^

Projects\Baklava\Executions1\07-27-2024_17h51m10s\C++ToHaskell.hs:21:31: error: [GHC-88464]
    Variable not in scope: halfN :: Int
   |
21 |         putStrLn $ replicate (halfN - i) ' ' ++ replicate (2 * i - 1) '*'
   |                               ^^^^^

",
Haskell,JavaToHaskell.hs,./Projects/Baklava/Executions1\07-27-2024_17h49m02s\JavaToHaskell.hs,1,ghc ./Projects/Baklava/Executions1\07-27-2024_17h49m02s\JavaToHaskell.hs -o ./Projects/Baklava/Executions1\07-27-2024_17h49m02s\outputHS,b'Loaded package environment from C:\\Users\\mager\\AppData\\Roaming\\ghc\\x86_64-mingw32-9.10.1\\environments\\default\r\n',"<no location info>: error: [GHC-95379]
    Output was redirected with -o, but no output will be generated.
    There is no module named `Main'.

",
Haskell,JavaToHaskell.hs,./Projects/Baklava/Executions1\07-27-2024_17h51m10s\JavaToHaskell.hs,1,ghc ./Projects/Baklava/Executions1\07-27-2024_17h51m10s\JavaToHaskell.hs -o ./Projects/Baklava/Executions1\07-27-2024_17h51m10s\outputHS,b'Loaded package environment from C:\\Users\\mager\\AppData\\Roaming\\ghc\\x86_64-mingw32-9.10.1\\environments\\default\r\n',"<no location info>: error: [GHC-95379]
    Output was redirected with -o, but no output will be generated.
    There is no module named `Main'.

",
Pascal,C#ToPascal.pas,./Projects/Baklava/Executions1\07-27-2024_18h26m28s\C#ToPascal.pas,1,fpc ./Projects/Baklava/Executions1\07-27-2024_18h26m28s\C#ToPascal.pas,"b'Free Pascal Compiler version 3.2.2 [2021/05/15] for i386\r\nCopyright (c) 1993-2021 by Florian Klaempfl and others\r\nTarget OS: Win32 for i386\r\nCompiling .\\Projects\\Baklava\\Executions1\\07-27-2024_18h26m28s\\C#ToPascal.pas\r\nC#ToPascal.pas(6,9) Error: Illegal expression\r\nC#ToPascal.pas(6,13) Fatal: Syntax error, "":="" expected but ""identifier I"" found\r\nFatal: Compilation aborted\r\nError: C:\\FPC\\3.2.2\\bin\\i386-Win32\\ppc386.exe returned an error exitcode\r\n'",,
Pascal,C#ToPascal.pas,./Projects/Baklava/Executions1\07-27-2024_18h28m33s\C#ToPascal.pas,1,fpc ./Projects/Baklava/Executions1\07-27-2024_18h28m33s\C#ToPascal.pas,"b'Free Pascal Compiler version 3.2.2 [2021/05/15] for i386\r\nCopyright (c) 1993-2021 by Florian Klaempfl and others\r\nTarget OS: Win32 for i386\r\nCompiling .\\Projects\\Baklava\\Executions1\\07-27-2024_18h28m33s\\C#ToPascal.pas\r\nC#ToPascal.pas(6,5) Error: Illegal expression\r\nC#ToPascal.pas(6,9) Fatal: Syntax error, "";"" expected but ""identifier I"" found\r\nFatal: Compilation aborted\r\nError: C:\\FPC\\3.2.2\\bin\\i386-Win32\\ppc386.exe returned an error exitcode\r\n'",,
