language,File Path,CToHaskell.hs,returncode,input,Expected,actualy
C#,./Projects/Baklava/Executions2\08-05-2024_14h09m50s\JavascriptToC#.cs,JavascriptToC#.cs,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","          *
         ***
        *****
       *******
      *********
     ***********
    *************
   ***************
  *****************
 *******************
 *********************
 *******************
  *****************
   ***************
    *************
     ***********
      *********
       *******
        *****
         ***
          *"
C#,./Projects/Baklava/Executions2\08-05-2024_14h16m56s\JavascriptToC#.cs,JavascriptToC#.cs,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","          *
         ***
        *****
       *******
      *********
     ***********
    *************
   ***************
  *****************
 *******************
 *********************
 *******************
  *****************
   ***************
    *************
     ***********
      *********
       *******
        *****
         ***
          *"
C++,./Projects/Baklava/Executions2\08-05-2024_14h09m50s\CToC++.c++,CToC++.c++,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","          *
******** ***
******* *****
****** *******
***** *********
**** ***********
*** *************
** ***************
* *****************
 *******************
 *********************
 *******************
* *****************
** ***************
*** *************
**** ***********
***** *********
****** *******
******* *****
******** ***
********* *"
C++,./Projects/Baklava/Executions2\08-05-2024_14h16m56s\CToC++.c++,CToC++.c++,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","          *
******** ***
******* *****
****** *******
***** *********
**** ***********
*** *************
** ***************
* *****************
 *******************
 *********************
 *******************
* *****************
** ***************
*** *************
**** ***********
***** *********
****** *******
******* *****
******** ***
********* *"
C++,./Projects/Baklava/Executions2\08-05-2024_14h20m24s\CToC++.c++,CToC++.c++,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","          *
******** ***
******* *****
****** *******
***** *********
**** ***********
*** *************
** ***************
* *****************
 *******************
 *********************
 *******************
* *****************
** ***************
*** *************
**** ***********
***** *********
****** *******
******* *****
******** ***
********* *"
Haskell,./Projects/Baklava/Executions2\08-05-2024_14h06m23s\CToHaskell.hs,CToHaskell.hs,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","          *
         ***
        *****
       *******
      *********
     ***********
    *************
   ***************
  *****************
 *******************
 *******************
  *****************
   ***************
    *************
     ***********
      *********
       *******
        *****
         ***
          *"
Haskell,./Projects/Baklava/Executions2\08-05-2024_14h06m23s\PythonToHaskell.hs,PythonToHaskell.hs,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","          *
         ***
        *****
       *******
      *********
     ***********
    *************
   ***************
  *****************
 *******************
*********************
*********************
 *******************
  *****************
   ***************
    *************
     ***********
      *********
       *******
        *****
         ***
          *"
Haskell,./Projects/Baklava/Executions2\08-05-2024_14h09m50s\C#ToHaskell.hs,C#ToHaskell.hs,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","          *
         ***
        *****
       *******
      *********
     ***********
    *************
   ***************
  *****************
 *******************
*********************
 *******************
  *****************
   ***************
    *************
     ***********
      *********
       *******
        *****
         ***"
Haskell,./Projects/Baklava/Executions2\08-05-2024_14h09m50s\CToHaskell.hs,CToHaskell.hs,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","          *
         ***
        *****
       *******
      *********
     ***********
    *************
   ***************
  *****************
 *******************"
Haskell,./Projects/Baklava/Executions2\08-05-2024_14h09m50s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","          *
         ***
        *****
       *******
      *********
     ***********
    *************
   ***************
  *****************
 *******************
 *******************
  *****************
   ***************
    *************
     ***********
      *********
       *******
        *****
         ***
          *"
Haskell,./Projects/Baklava/Executions2\08-05-2024_14h09m50s\PascalToHaskell.hs,PascalToHaskell.hs,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","          *
         ***
        *****
       *******
      *********
     ***********
    *************
   ***************
  *****************
 *******************
*********************
          *******************
         *****************
        ***************
       *************
      ***********
     *********
    *******
   *****
  ***
 *"
Haskell,./Projects/Baklava/Executions2\08-05-2024_14h09m50s\PythonToHaskell.hs,PythonToHaskell.hs,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","          *
         ***
        *****
       *******
      *********
     ***********
    *************
   ***************
  *****************
 *******************
*********************
*********************
 *******************
  *****************
   ***************
    *************
     ***********
      *********
       *******
        *****
         ***
          *"
Haskell,./Projects/Baklava/Executions2\08-05-2024_14h13m33s\C#ToHaskell.hs,C#ToHaskell.hs,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","          *
         ***
        *****
       *******
      *********
     ***********
    *************
   ***************
  *****************
 *******************
 *******************
  *****************
   ***************
    *************
     ***********
      *********
       *******
        *****
         ***
          *"
Haskell,./Projects/Baklava/Executions2\08-05-2024_14h13m33s\CToHaskell.hs,CToHaskell.hs,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","         *
        ***
       *****
      *******
     *********
    ***********
   *************
  ***************
 *****************
*******************
*******************
 *****************
  ***************
   *************
    ***********
     *********
      *******
       *****
        ***
         *"
Haskell,./Projects/Baklava/Executions2\08-05-2024_14h13m33s\PascalToHaskell.hs,PascalToHaskell.hs,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","*********************
 *******************
  *****************
   ***************
    *************
     ***********
      *********
       *******
        *****
         ***
          *
 *******************
  *****************
   ***************
    *************
     ***********
      *********
       *******
        *****
         ***
          *"
Haskell,./Projects/Baklava/Executions2\08-05-2024_14h16m56s\C#ToHaskell.hs,C#ToHaskell.hs,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","*******************
 *****************
  ***************
   *************
    ***********
     *********
      *******
       *****
        ***
*******************
 *****************
  ***************
   *************
    ***********
     *********
      *******
       *****
        ***"
