language,File Path,C#ToC++.c++,returncode,input,Expected,actualy
C,./Projects/PrimeNumber/Executions3\07-30-2024_21h31m36s\C#ToC.c,C#ToC.c,0,-7.0,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions3\07-30-2024_21h35m30s\C#ToC.c,C#ToC.c,0,-7.0,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions3\07-30-2024_21h35m30s\PascalToC.c,PascalToC.c,0,-7.0,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions3\07-30-2024_21h43m21s\C#ToC.c,C#ToC.c,0,-7.0,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions3\07-30-2024_21h27m21s\C#ToC.c,C#ToC.c,0,nan,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions3\07-30-2024_21h27m21s\JavascriptToC.c,JavascriptToC.c,0,nan,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions3\07-30-2024_21h27m21s\JavaToC.c,JavaToC.c,0,nan,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions3\07-30-2024_21h31m36s\HaskellToC.c,HaskellToC.c,0,nan,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions3\07-30-2024_21h31m36s\JavascriptToC.c,JavascriptToC.c,0,nan,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions3\07-30-2024_21h31m36s\JavaToC.c,JavaToC.c,0,nan,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions3\07-30-2024_21h31m36s\PascalToC.c,PascalToC.c,0,nan,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions3\07-30-2024_21h31m36s\PythonToC.c,PythonToC.c,0,nan,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions3\07-30-2024_21h35m30s\HaskellToC.c,HaskellToC.c,0,nan,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions3\07-30-2024_21h35m30s\JavascriptToC.c,JavascriptToC.c,0,nan,usage: please input a non-negative integer,composite
