language,filename,DirPath,Returncode,Command,Output,Stdout,Stderr
Haskell,C#ToHaskell.hs,./Projects/PrimeNumber/Executions4\07-31-2024_15h00m32s\C#ToHaskell.hs,1,ghc ./Projects/PrimeNumber/Executions4\07-31-2024_15h00m32s\C#ToHaskell.hs -o ./Projects/PrimeNumber/Executions4\07-31-2024_15h00m32s\outputHS,"b'[1 of 2] Compiling Main             ( Projects\\PrimeNumber\\Executions4\\07-31-2024_15h00m32s\\C#ToHaskell.hs, Projects\\PrimeNumber\\Executions4\\07-31-2024_15h00m32s\\C#ToHaskell.o )\r\n'","Projects\PrimeNumber\Executions4\07-31-2024_15h00m32s\C#ToHaskell.hs:16:13: error: [GHC-88464]
    Variable not in scope: getArgs :: IO [String]
   |
16 |     args <- getArgs
   |             ^^^^^^^

",
Haskell,CToHaskell.hs,./Projects/PrimeNumber/Executions4\07-31-2024_15h05m01s\CToHaskell.hs,1,ghc ./Projects/PrimeNumber/Executions4\07-31-2024_15h05m01s\CToHaskell.hs -o ./Projects/PrimeNumber/Executions4\07-31-2024_15h05m01s\outputHS,"b'[1 of 2] Compiling Main             ( Projects\\PrimeNumber\\Executions4\\07-31-2024_15h05m01s\\CToHaskell.hs, Projects\\PrimeNumber\\Executions4\\07-31-2024_15h05m01s\\CToHaskell.o )\r\n'","Projects\PrimeNumber\Executions4\07-31-2024_15h05m01s\CToHaskell.hs:24:7: error: [GHC-58481]
    parse error on input `putStrLn'
   |
24 |       putStrLn (primeNumber number)
   |       ^^^^^^^^

",
Haskell,JavaToHaskell.hs,./Projects/PrimeNumber/Executions4\07-31-2024_14h56m17s\JavaToHaskell.hs,1,ghc ./Projects/PrimeNumber/Executions4\07-31-2024_14h56m17s\JavaToHaskell.hs -o ./Projects/PrimeNumber/Executions4\07-31-2024_14h56m17s\outputHS,"b'[1 of 2] Compiling Main             ( Projects\\PrimeNumber\\Executions4\\07-31-2024_14h56m17s\\JavaToHaskell.hs, Projects\\PrimeNumber\\Executions4\\07-31-2024_14h56m17s\\JavaToHaskell.o )\r\n'","Projects\PrimeNumber\Executions4\07-31-2024_14h56m17s\JavaToHaskell.hs:8:10: error: [GHC-76037]
    Not in scope: type constructor or class `Exception'
  |
8 | instance Exception PrimeNumberException
  |          ^^^^^^^^^

",
Haskell,PascalToHaskell.hs,./Projects/PrimeNumber/Executions4\07-31-2024_15h09m12s\PascalToHaskell.hs,1,ghc ./Projects/PrimeNumber/Executions4\07-31-2024_15h09m12s\PascalToHaskell.hs -o ./Projects/PrimeNumber/Executions4\07-31-2024_15h09m12s\outputHS,"b'[1 of 2] Compiling Main             ( Projects\\PrimeNumber\\Executions4\\07-31-2024_15h09m12s\\PascalToHaskell.hs, Projects\\PrimeNumber\\Executions4\\07-31-2024_15h09m12s\\PascalToHaskell.o )\r\n'","Projects\PrimeNumber\Executions4\07-31-2024_15h09m12s\PascalToHaskell.hs:20:34: error: [GHC-39999]
    * No instance for `RealFrac Integer' arising from a use of `round'
    * In the expression: round (prime / 2)
      In an equation for `maxDivisor': maxDivisor = round (prime / 2)
      In the expression:
        let
          maxDivisor = round (prime / 2)
          isPrime flag i
            | flag == 1 = False
            | i > maxDivisor = True
            | prime `mod` i == 0 = False
            | otherwise = isPrime flag (i + 1)
        in if isPrime 0 3 then putStrLn ""Prime"" else putStrLn ""Composite""
   |
20 |                 let maxDivisor = round (prime / 2)
   |                                  ^^^^^

Projects\PrimeNumber\Executions4\07-31-2024_15h09m12s\PascalToHaskell.hs:20:47: error: [GHC-39999]
    * No instance for `Fractional Integer' arising from a use of `/'
    * In the first argument of `round', namely `(prime / 2)'
      In the expression: round (prime / 2)
      In an equation for `maxDivisor': maxDivisor = round (prime / 2)
   |
20 |                 let maxDivisor = round (prime / 2)
   |                                               ^

",
Pascal,C#ToPascal.pas,./Projects/PrimeNumber/Executions4\07-31-2024_14h56m17s\C#ToPascal.pas,1,fpc ./Projects/PrimeNumber/Executions4\07-31-2024_14h56m17s\C#ToPascal.pas,"b'Free Pascal Compiler version 3.2.2 [2021/05/15] for i386\r\nCopyright (c) 1993-2021 by Florian Klaempfl and others\r\nTarget OS: Win32 for i386\r\nCompiling .\\Projects\\PrimeNumber\\Executions4\\07-31-2024_14h56m17s\\C#ToPascal.pas\r\nC#ToPascal.pas(21,3) Error: Identifier not found ""Result""\r\nC#ToPascal.pas(29,3) Error: Identifier not found ""try""\r\nC#ToPascal.pas(30,5) Fatal: Syntax error, "";"" expected but ""identifier READLN"" found\r\nFatal: Compilation aborted\r\nError: C:\\FPC\\3.2.2\\bin\\i386-Win32\\ppc386.exe returned an error exitcode\r\n'",,
Pascal,C#ToPascal.pas,./Projects/PrimeNumber/Executions4\07-31-2024_15h00m32s\C#ToPascal.pas,1,fpc ./Projects/PrimeNumber/Executions4\07-31-2024_15h00m32s\C#ToPascal.pas,"b'Free Pascal Compiler version 3.2.2 [2021/05/15] for i386\r\nCopyright (c) 1993-2021 by Florian Klaempfl and others\r\nTarget OS: Win32 for i386\r\nCompiling .\\Projects\\PrimeNumber\\Executions4\\07-31-2024_15h00m32s\\C#ToPascal.pas\r\nC#ToPascal.pas(31,3) Error: Identifier not found ""try""\r\nC#ToPascal.pas(32,5) Fatal: Syntax error, "";"" expected but ""IF"" found\r\nFatal: Compilation aborted\r\nError: C:\\FPC\\3.2.2\\bin\\i386-Win32\\ppc386.exe returned an error exitcode\r\n'",,
Pascal,C#ToPascal.pas,./Projects/PrimeNumber/Executions4\07-31-2024_15h05m01s\C#ToPascal.pas,1,fpc ./Projects/PrimeNumber/Executions4\07-31-2024_15h05m01s\C#ToPascal.pas,"b'Free Pascal Compiler version 3.2.2 [2021/05/15] for i386\r\nCopyright (c) 1993-2021 by Florian Klaempfl and others\r\nTarget OS: Win32 for i386\r\nCompiling .\\Projects\\PrimeNumber\\Executions4\\07-31-2024_15h05m01s\\C#ToPascal.pas\r\nC#ToPascal.pas(24,3) Error: Identifier not found ""Result""\r\nC#ToPascal.pas(32,3) Error: Identifier not found ""try""\r\nC#ToPascal.pas(33,5) Fatal: Syntax error, "";"" expected but ""IF"" found\r\nFatal: Compilation aborted\r\nError: C:\\FPC\\3.2.2\\bin\\i386-Win32\\ppc386.exe returned an error exitcode\r\n'",,
Pascal,C#ToPascal.pas,./Projects/PrimeNumber/Executions4\07-31-2024_15h09m12s\C#ToPascal.pas,1,fpc ./Projects/PrimeNumber/Executions4\07-31-2024_15h09m12s\C#ToPascal.pas,"b'Free Pascal Compiler version 3.2.2 [2021/05/15] for i386\r\nCopyright (c) 1993-2021 by Florian Klaempfl and others\r\nTarget OS: Win32 for i386\r\nCompiling .\\Projects\\PrimeNumber\\Executions4\\07-31-2024_15h09m12s\\C#ToPascal.pas\r\nC#ToPascal.pas(15,7) Error: Ordinal expression expected\r\nC#ToPascal.pas(21,3) Error: Identifier not found ""Result""\r\nC#ToPascal.pas(28,3) Error: Identifier not found ""try""\r\nC#ToPascal.pas(29,5) Fatal: Syntax error, "";"" expected but ""IF"" found\r\nFatal: Compilation aborted\r\nError: C:\\FPC\\3.2.2\\bin\\i386-Win32\\ppc386.exe returned an error exitcode\r\n'",,
Pascal,C#ToPascal.pas,./Projects/PrimeNumber/Executions4\07-31-2024_15h13m58s\C#ToPascal.pas,1,fpc ./Projects/PrimeNumber/Executions4\07-31-2024_15h13m58s\C#ToPascal.pas,"b'Free Pascal Compiler version 3.2.2 [2021/05/15] for i386\r\nCopyright (c) 1993-2021 by Florian Klaempfl and others\r\nTarget OS: Win32 for i386\r\nCompiling .\\Projects\\PrimeNumber\\Executions4\\07-31-2024_15h13m58s\\C#ToPascal.pas\r\nC#ToPascal.pas(15,7) Error: Ordinal expression expected\r\nC#ToPascal.pas(21,3) Error: Identifier not found ""Result""\r\nC#ToPascal.pas(28,3) Error: Identifier not found ""try""\r\nC#ToPascal.pas(29,5) Fatal: Syntax error, "";"" expected but ""IF"" found\r\nFatal: Compilation aborted\r\nError: C:\\FPC\\3.2.2\\bin\\i386-Win32\\ppc386.exe returned an error exitcode\r\n'",,
Pascal,C++ToPascal.pas,./Projects/PrimeNumber/Executions4\07-31-2024_14h56m17s\C++ToPascal.pas,1,fpc ./Projects/PrimeNumber/Executions4\07-31-2024_14h56m17s\C++ToPascal.pas,"b'Free Pascal Compiler version 3.2.2 [2021/05/15] for i386\r\nCopyright (c) 1993-2021 by Florian Klaempfl and others\r\nTarget OS: Win32 for i386\r\nCompiling .\\Projects\\PrimeNumber\\Executions4\\07-31-2024_14h56m17s\\C++ToPascal.pas\r\nC++ToPascal.pas(39,9) Error: Illegal expression\r\nC++ToPascal.pas(39,13) Fatal: Syntax error, "";"" expected but ""identifier ISCOMPOSITE"" found\r\nFatal: Compilation aborted\r\nError: C:\\FPC\\3.2.2\\bin\\i386-Win32\\ppc386.exe returned an error exitcode\r\n'",,
