language,File Path,C++ToC#.cs,returncode,input,Expected,actualy
C#,./Projects/HumanEvalX\0\ExecutionsExp13Run1\03-29-2025_13h07m09s\C++ToC#.cs,C++ToC#.cs,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05]",False,True
Haskell,./Projects/HumanEvalX\0\ExecutionsExp13Run1\03-29-2025_13h07m09s\C++ToHaskell.hs,C++ToHaskell.hs,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3]",True,False
C#,./Projects/HumanEvalX\0\ExecutionsExp13Run1\03-29-2025_13h07m09s\JavaToC#.cs,JavaToC#.cs,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05]",False,True
Java,./Projects/HumanEvalX\1\ExecutionsExp13Run1\03-29-2025_13h09m48s\JavascriptToJava.java,JavascriptToJava.java,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']","[(()()), ((())), (), ((())()())]"
C,./Projects/HumanEvalX\1\ExecutionsExp13Run1\03-29-2025_13h09m48s\PythonToC.c,PythonToC.c,0,['( ) (( )) (( )( ))'],"['()', '(())', '(()())']","['( )', '(( ))', '(( )( ))']"
Haskell,./Projects/HumanEvalX\1\ExecutionsExp13Run1\03-29-2025_13h09m48s\PythonToHaskell.hs,PythonToHaskell.hs,0,['( ) (( )) (( )( ))'],"['()', '(())', '(()())']","['( )', '(( ))', '(( )( ))']"
Java,./Projects/HumanEvalX\1\ExecutionsExp13Run1\03-29-2025_13h09m48s\PythonToJava.java,PythonToJava.java,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']","[(()()), ((())), (), ((())()())]"
Pascal,./Projects/HumanEvalX\100\ExecutionsExp13Run1\03-29-2025_13h14m33s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,[3],"[3, 5, 7]","[4, 6, 8]"
C#,./Projects/HumanEvalX\101\ExecutionsExp13Run1\03-29-2025_13h23m11s\JavascriptToC#.cs,JavascriptToC#.cs,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']","[Hi, my, name, is, John]"
Java,./Projects/HumanEvalX\101\ExecutionsExp13Run1\03-29-2025_13h23m11s\JavascriptToJava.java,JavascriptToJava.java,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']","[Hi, my, name, is, John]"
C++,./Projects/HumanEvalX\101\ExecutionsExp13Run1\03-29-2025_13h23m11s\JavaToC++.c++,JavaToC++.c++,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']","['Hi', ''my', ''name', ''is', ''John']"
Java,./Projects/HumanEvalX\101\ExecutionsExp13Run1\03-29-2025_13h23m11s\PythonToJava.java,PythonToJava.java,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']","[Hi, my, name, is, John]"
Java,./Projects/HumanEvalX\105\ExecutionsExp13Run1\03-29-2025_13h29m37s\JavascriptToJava.java,JavascriptToJava.java,0,"[[2, 1, 1, 4, 5, 8, 2, 3]]","['Eight', 'Five', 'Four', 'Three', 'Two', 'Two', 'One', 'One']","[Eight, Five, Four, Three, Two, Two, One, One]"
Java,./Projects/HumanEvalX\105\ExecutionsExp13Run1\03-29-2025_13h29m37s\PythonToJava.java,PythonToJava.java,0,"[[2, 1, 1, 4, 5, 8, 2, 3]]","['Eight', 'Five', 'Four', 'Three', 'Two', 'Two', 'One', 'One']","[Eight, Five, Four, Three, Two, Two, One, One]"
Haskell,./Projects/HumanEvalX\108\ExecutionsExp13Run1\03-29-2025_13h35m20s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,"[[-1, -2, 0]]",0,2
Python,./Projects/HumanEvalX\109\ExecutionsExp13Run1\03-29-2025_13h38m12s\C++ToPython.py,C++ToPython.py,0,"[[3, 4, 5, 1, 2]]",True,False
C++,./Projects/HumanEvalX\109\ExecutionsExp13Run1\03-29-2025_13h38m12s\PythonToC++.c++,PythonToC++.c++,0,"[[4, 3, 1, 2]]",False,True
Haskell,./Projects/HumanEvalX\113\ExecutionsExp13Run1\03-29-2025_13h45m48s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],Error: Could not parse input
Haskell,./Projects/HumanEvalX\113\ExecutionsExp13Run1\03-29-2025_13h45m48s\PythonToHaskell.hs,PythonToHaskell.hs,0,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],Error: Could not parse input
Java,./Projects/HumanEvalX\113\ExecutionsExp13Run1\03-29-2025_13h45m48s\PythonToJava.java,PythonToJava.java,0,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],[the number of odd elements 4n the str4ng 4 of the 4nput.]
