language,File Path,C++ToC#.cs,returncode,input,Expected,actualy
C#,./Projects/HumanEvalX\0\ExecutionsExp15Run1\03-30-2025_14h55m20s\C++ToC#.cs,C++ToC#.cs,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05]",False,True
C#,./Projects/HumanEvalX\0\ExecutionsExp15Run1\03-30-2025_14h55m20s\JavaToC#.cs,JavaToC#.cs,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05]",False,True
C#,./Projects/HumanEvalX\1\ExecutionsExp15Run1\03-30-2025_15h03m52s\JavascriptToC#.cs,JavascriptToC#.cs,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']","[(()()), ((())), (), ((())()())]"
Java,./Projects/HumanEvalX\1\ExecutionsExp15Run1\03-30-2025_15h03m52s\JavascriptToJava.java,JavascriptToJava.java,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']","[(()()), ((())), (), ((())()())]"
C#,./Projects/HumanEvalX\1\ExecutionsExp15Run1\03-30-2025_15h03m52s\PythonToC#.cs,PythonToC#.cs,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']","[(()()), ((())), (), ((())()())]"
Haskell,./Projects/HumanEvalX\1\ExecutionsExp15Run1\03-30-2025_15h03m52s\PythonToHaskell.hs,PythonToHaskell.hs,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']","['((())()())', '()', '((()))', '(()())']"
Java,./Projects/HumanEvalX\1\ExecutionsExp15Run1\03-30-2025_15h03m52s\PythonToJava.java,PythonToJava.java,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']","[(()()), ((())), (), ((())()())]"
Pascal,./Projects/HumanEvalX\10\ExecutionsExp15Run1\03-30-2025_15h12m46s\PythonToPascal.pas,PythonToPascal.pas,0,['x'],x,xx
C#,./Projects/HumanEvalX\101\ExecutionsExp15Run1\03-30-2025_15h28m03s\JavascriptToC#.cs,JavascriptToC#.cs,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']","[Hi, my, name, is, John]"
Java,./Projects/HumanEvalX\101\ExecutionsExp15Run1\03-30-2025_15h28m03s\JavascriptToJava.java,JavascriptToJava.java,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']","[Hi, my, name, is, John]"
C++,./Projects/HumanEvalX\101\ExecutionsExp15Run1\03-30-2025_15h28m03s\JavaToC++.c++,JavaToC++.c++,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']","['Hi', ''my', ''name', ''is', ''John']"
Pascal,./Projects/HumanEvalX\101\ExecutionsExp15Run1\03-30-2025_15h28m03s\JavaToPascal.pas,JavaToPascal.pas,0,"['One,, two, three, four, five, six,']","['One', 'two', 'three', 'four', 'five', 'six']","['One', 'two', 'three', 'four', 'five', 'six ']"
Java,./Projects/HumanEvalX\101\ExecutionsExp15Run1\03-30-2025_15h28m03s\PythonToJava.java,PythonToJava.java,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']","[Hi, my, name, is, John]"
C,./Projects/HumanEvalX\105\ExecutionsExp15Run1\03-30-2025_15h53m10s\JavaToC.c,JavaToC.c,0,"[[2, 1, 1, 4, 5, 8, 2, 3]]","['Eight', 'Five', 'Four', 'Three', 'Two', 'Two', 'One', 'One']","['Eight', ''Five', ''Four', ''Three', ''Two', ''One', ''One']"
Java,./Projects/HumanEvalX\105\ExecutionsExp15Run1\03-30-2025_15h53m10s\PythonToJava.java,PythonToJava.java,0,"[[2, 1, 1, 4, 5, 8, 2, 3]]","['Eight', 'Five', 'Four', 'Three', 'Two', 'Two', 'One', 'One']","[Eight, Five, Four, Three, Two, Two, One, One]"
C#,./Projects/HumanEvalX\106\ExecutionsExp15Run1\03-30-2025_16h03m54s\JavascriptToC#.cs,JavascriptToC#.cs,0,[5],"[1, 2, 6, 24, 15]","(1, 2, 6, 24, 15)"
C++,./Projects/HumanEvalX\106\ExecutionsExp15Run1\03-30-2025_16h03m54s\JavascriptToC++.c++,JavascriptToC++.c++,0,[5],"[1, 2, 6, 24, 15]","(1, 2, 6, 24, 15)"
Python,./Projects/HumanEvalX\109\ExecutionsExp15Run1\03-30-2025_16h20m35s\C++ToPython.py,C++ToPython.py,0,"[[3, 4, 5, 1, 2]]",True,False
C,./Projects/HumanEvalX\113\ExecutionsExp15Run1\03-30-2025_16h46m28s\JavascriptToC.c,JavascriptToC.c,0,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],[]
C,./Projects/HumanEvalX\113\ExecutionsExp15Run1\03-30-2025_16h46m28s\PythonToC.c,PythonToC.c,0,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],[]
