language,File Path,JavascriptToHaskell.hs,returncode,input,Expected,actualy
Haskell,./Projects/HumanEvalX\116\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,"[[-2, -3, -4, -5, -6]]","[-4, -2, -6, -5, -3]","[-6, -4, -5, -3, -2]"
Haskell,./Projects/HumanEvalX\126\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,[[5]],True,
C,./Projects/HumanEvalX\133\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",14,0
C#,./Projects/HumanEvalX\133\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavaToC#.cs,JavaToC#.cs,0,"[[1.0, 2, 3]]",14,113
Java,./Projects/HumanEvalX\20\ExecutionsExp23Run1\01-14-2026_14h34m36s\C++ToJava.java,C++ToJava.java,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2]]","[3.9, 4.0]",[]
Java,./Projects/HumanEvalX\29\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToJava.java,JavascriptToJava.java,0,"[[], 'john']",[],
Pascal,./Projects/HumanEvalX\29\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[], 'john']",[],
C#,./Projects/HumanEvalX\4\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToC#.cs,JavascriptToC#.cs,0,"[[1.0, 2.0, 3.0]]",1e-06,"(6, 66666666666667)"
Pascal,./Projects/HumanEvalX\4\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[1.0, 2.0, 3.0]]",1e-06,"(0, 666666666666667)"
C#,./Projects/HumanEvalX\45\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavaToC#.cs,JavaToC#.cs,0,"[5, 3]",7.5,"(7, 5)"
C#,./Projects/HumanEvalX\71\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToC#.cs,JavascriptToC#.cs,0,"[4, 8, 5]",0.01,0.019999999999999574
Pascal,./Projects/HumanEvalX\71\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[4, 8, 5]",0.01,0.019999999999999574
C#,./Projects/HumanEvalX\71\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavaToC#.cs,JavaToC#.cs,0,"[4, 8, 5]",0.01,"(8, 18)"
C++,./Projects/HumanEvalX\74\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[['hi', 'admin'], ['hi', 'hi']]","['hi', 'hi']","['hi', ', ', 'hi', ']']"
C#,./Projects/HumanEvalX\8\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToC#.cs,JavascriptToC#.cs,0,[[]],"[0, 1]",
Pascal,./Projects/HumanEvalX\99\ExecutionsExp23Run1\01-14-2026_14h34m37s\C++ToPascal.pas,C++ToPascal.pas,0,['14.5'],15,14
