language,File Path,C#ToHaskell.hs,returncode,input,Expected,actualy
C++,./Projects/Baklava/Executions1\07-27-2024_17h49m02s\CToC++.c++,CToC++.c++,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","          *
******** ***
******* *****
****** *******
***** *********
**** ***********
*** *************
** ***************
* *****************
 *******************
 *********************
 *******************
* *****************
** ***************
*** *************
**** ***********
***** *********
****** *******
******* *****
******** ***
********* *"
C++,./Projects/Baklava/Executions1\07-27-2024_17h51m10s\CToC++.c++,CToC++.c++,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","          *
******** ***
******* *****
****** *******
***** *********
**** ***********
*** *************
** ***************
* *****************
 *******************
 *********************
 *******************
* *****************
** ***************
*** *************
**** ***********
***** *********
****** *******
******* *****
******** ***
********* *"
C++,./Projects/Baklava/Executions1\07-27-2024_18h28m33s\CToC++.c++,CToC++.c++,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","          *
******** ***
******* *****
****** *******
***** *********
**** ***********
*** *************
** ***************
* *****************
 *******************
 *********************
 *******************
* *****************
** ***************
*** *************
**** ***********
***** *********
****** *******
******* *****
******** ***
********* *"
C++,./Projects/Baklava/Executions1\07-27-2024_18h30m38s\CToC++.c++,CToC++.c++,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","          *
******** ***
******* *****
****** *******
***** *********
**** ***********
*** *************
** ***************
* *****************
 *******************
 *********************
 *******************
* *****************
** ***************
*** *************
**** ***********
***** *********
****** *******
******* *****
******** ***
********* *"
Haskell,./Projects/Baklava/Executions1\07-27-2024_17h49m02s\C#ToHaskell.hs,C#ToHaskell.hs,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","         *
        ***
       *****
      *******
     *********
    ***********
   *************
  ***************
 *****************
*******************
*********************
*******************
 *****************
  ***************
   *************
    ***********
     *********
      *******
       *****
        ***
         *"
Haskell,./Projects/Baklava/Executions1\07-27-2024_17h49m02s\CToHaskell.hs,CToHaskell.hs,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","          *
         ***
        *****
       *******
      *********
     ***********
    *************
   ***************
  *****************
 *******************
 *******************
  *****************
   ***************
    *************
     ***********
      *********
       *******
        *****
         ***
          *"
Haskell,./Projects/Baklava/Executions1\07-27-2024_17h49m02s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","          *
         ***
        *****
       *******
      *********
     ***********
    *************
   ***************
  *****************
 *******************
 *******************
  *****************
   ***************
    *************
     ***********
      *********
       *******
        *****
         ***
          *"
Haskell,./Projects/Baklava/Executions1\07-27-2024_17h51m10s\C#ToHaskell.hs,C#ToHaskell.hs,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","          *
         ***
        *****
       *******
      *********
     ***********
    *************
   ***************
  *****************
 *******************
 *******************
  *****************
   ***************
    *************
     ***********
      *********
       *******
        *****
         ***
          *"
Haskell,./Projects/Baklava/Executions1\07-27-2024_17h51m10s\CToHaskell.hs,CToHaskell.hs,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","          *
         ***
        *****
       *******
      *********
     ***********
    *************
   ***************
  *****************
 *******************
 *******************
  *****************
   ***************
    *************
     ***********
      *********
       *******
        *****
         ***
          *"
Haskell,./Projects/Baklava/Executions1\07-27-2024_17h51m10s\PascalToHaskell.hs,PascalToHaskell.hs,0,nan,"           *
          ***
         *****
        *******
       *********
      ***********
     *************
    ***************
   *****************
  *******************
 *********************
  *******************
   *****************
    ***************
     *************
      ***********
       *********
        *******
         *****
          ***
           *","          *
         ***
        *****
       *******
      *********
     ***********
    *************
   ***************
  *****************
 *******************
*********************
         *******************
        *****************
       ***************
      *************
     ***********
    *********
   *******
  *****
 ***
*"
