language,filename,DirPath,Returncode,Command,Output,Stdout,Stderr
C,C#ToC.c,./Projects/HelloWorld/Executions2\07-05-2024_17h23m\C#ToC.c,1,gcc ./Projects/HelloWorld/Executions2\07-05-2024_17h23m\C#ToC.c -o ./Projects/HelloWorld/Executions2\07-05-2024_17h23m\outputC,b'',"./Projects/HelloWorld/Executions2\07-05-2024_17h23m\C#ToC.c:1:1: error: stray '`' in program
    1 | ```c
      | ^
./Projects/HelloWorld/Executions2\07-05-2024_17h23m\C#ToC.c:1:2: error: stray '`' in program
    1 | ```c
      |  ^
./Projects/HelloWorld/Executions2\07-05-2024_17h23m\C#ToC.c:1:3: error: stray '`' in program
    1 | ```c
      |   ^
In file included from C:/MinGWCPP/x86_64-w64-mingw32/include/_mingw.h:282,
                 from C:/MinGWCPP/x86_64-w64-mingw32/include/corecrt.h:10,
                 from C:/MinGWCPP/x86_64-w64-mingw32/include/corecrt_stdio_config.h:10,
                 from C:/MinGWCPP/x86_64-w64-mingw32/include/stdio.h:9,
                 from ./Projects/HelloWorld/Executions2\07-05-2024_17h23m\C#ToC.c:2:
C:/MinGWCPP/x86_64-w64-mingw32/include/vadefs.h:14:9: error: expected '=', ',', ';', 'asm' or '__attribute__' before '#pragma'
   14 | #pragma pack(push,_CRT_PACKING)
      |         ^~~~
./Projects/HelloWorld/Executions2\07-05-2024_17h23m\C#ToC.c:8:1: error: stray '`' in program
    8 | ```
      | ^
./Projects/HelloWorld/Executions2\07-05-2024_17h23m\C#ToC.c:8:2: error: stray '`' in program
    8 | ```
      |  ^
./Projects/HelloWorld/Executions2\07-05-2024_17h23m\C#ToC.c:8:3: error: stray '`' in program
    8 | ```
      |   ^
",
C,C#ToC.c,./Projects/HelloWorld/Executions2\07-05-2024_17h32m\C#ToC.c,1,gcc ./Projects/HelloWorld/Executions2\07-05-2024_17h32m\C#ToC.c -o ./Projects/HelloWorld/Executions2\07-05-2024_17h32m\outputC,b'',"./Projects/HelloWorld/Executions2\07-05-2024_17h32m\C#ToC.c:1:1: error: stray '`' in program
    1 | ```c
      | ^
./Projects/HelloWorld/Executions2\07-05-2024_17h32m\C#ToC.c:1:2: error: stray '`' in program
    1 | ```c
      |  ^
./Projects/HelloWorld/Executions2\07-05-2024_17h32m\C#ToC.c:1:3: error: stray '`' in program
    1 | ```c
      |   ^
In file included from C:/MinGWCPP/x86_64-w64-mingw32/include/_mingw.h:282,
                 from C:/MinGWCPP/x86_64-w64-mingw32/include/corecrt.h:10,
                 from C:/MinGWCPP/x86_64-w64-mingw32/include/corecrt_stdio_config.h:10,
                 from C:/MinGWCPP/x86_64-w64-mingw32/include/stdio.h:9,
                 from ./Projects/HelloWorld/Executions2\07-05-2024_17h32m\C#ToC.c:2:
C:/MinGWCPP/x86_64-w64-mingw32/include/vadefs.h:14:9: error: expected '=', ',', ';', 'asm' or '__attribute__' before '#pragma'
   14 | #pragma pack(push,_CRT_PACKING)
      |         ^~~~
./Projects/HelloWorld/Executions2\07-05-2024_17h32m\C#ToC.c:7:1: error: stray '`' in program
    7 | ```
      | ^
./Projects/HelloWorld/Executions2\07-05-2024_17h32m\C#ToC.c:7:2: error: stray '`' in program
    7 | ```
      |  ^
./Projects/HelloWorld/Executions2\07-05-2024_17h32m\C#ToC.c:7:3: error: stray '`' in program
    7 | ```
      |   ^
",
C,C#ToC.c,./Projects/HelloWorld/Executions2\07-06-2024_09h34m\C#ToC.c,1,gcc ./Projects/HelloWorld/Executions2\07-06-2024_09h34m\C#ToC.c -o ./Projects/HelloWorld/Executions2\07-06-2024_09h34m\outputC,b'',"./Projects/HelloWorld/Executions2\07-06-2024_09h34m\C#ToC.c:1:1: error: stray '`' in program
    1 | ```c
      | ^
./Projects/HelloWorld/Executions2\07-06-2024_09h34m\C#ToC.c:1:2: error: stray '`' in program
    1 | ```c
      |  ^
./Projects/HelloWorld/Executions2\07-06-2024_09h34m\C#ToC.c:1:3: error: stray '`' in program
    1 | ```c
      |   ^
In file included from C:/MinGWCPP/x86_64-w64-mingw32/include/_mingw.h:282,
                 from C:/MinGWCPP/x86_64-w64-mingw32/include/corecrt.h:10,
                 from C:/MinGWCPP/x86_64-w64-mingw32/include/corecrt_stdio_config.h:10,
                 from C:/MinGWCPP/x86_64-w64-mingw32/include/stdio.h:9,
                 from ./Projects/HelloWorld/Executions2\07-06-2024_09h34m\C#ToC.c:2:
C:/MinGWCPP/x86_64-w64-mingw32/include/vadefs.h:14:9: error: expected '=', ',', ';', 'asm' or '__attribute__' before '#pragma'
   14 | #pragma pack(push,_CRT_PACKING)
      |         ^~~~
./Projects/HelloWorld/Executions2\07-06-2024_09h34m\C#ToC.c:8:1: error: stray '`' in program
    8 | ```
      | ^
./Projects/HelloWorld/Executions2\07-06-2024_09h34m\C#ToC.c:8:2: error: stray '`' in program
    8 | ```
      |  ^
./Projects/HelloWorld/Executions2\07-06-2024_09h34m\C#ToC.c:8:3: error: stray '`' in program
    8 | ```
      |   ^
",
C,C++ToC.c,./Projects/HelloWorld/Executions2\07-05-2024_17h32m\C++ToC.c,1,gcc ./Projects/HelloWorld/Executions2\07-05-2024_17h32m\C++ToC.c -o ./Projects/HelloWorld/Executions2\07-05-2024_17h32m\outputC,b'',"./Projects/HelloWorld/Executions2\07-05-2024_17h32m\C++ToC.c:1:1: error: stray '`' in program
    1 | ```c
      | ^
./Projects/HelloWorld/Executions2\07-05-2024_17h32m\C++ToC.c:1:2: error: stray '`' in program
    1 | ```c
      |  ^
./Projects/HelloWorld/Executions2\07-05-2024_17h32m\C++ToC.c:1:3: error: stray '`' in program
    1 | ```c
      |   ^
In file included from C:/MinGWCPP/x86_64-w64-mingw32/include/_mingw.h:282,
                 from C:/MinGWCPP/x86_64-w64-mingw32/include/corecrt.h:10,
                 from C:/MinGWCPP/x86_64-w64-mingw32/include/corecrt_stdio_config.h:10,
                 from C:/MinGWCPP/x86_64-w64-mingw32/include/stdio.h:9,
                 from ./Projects/HelloWorld/Executions2\07-05-2024_17h32m\C++ToC.c:2:
C:/MinGWCPP/x86_64-w64-mingw32/include/vadefs.h:14:9: error: expected '=', ',', ';', 'asm' or '__attribute__' before '#pragma'
   14 | #pragma pack(push,_CRT_PACKING)
      |         ^~~~
./Projects/HelloWorld/Executions2\07-05-2024_17h32m\C++ToC.c:10:1: error: stray '`' in program
   10 | ```
      | ^
./Projects/HelloWorld/Executions2\07-05-2024_17h32m\C++ToC.c:10:2: error: stray '`' in program
   10 | ```
      |  ^
./Projects/HelloWorld/Executions2\07-05-2024_17h32m\C++ToC.c:10:3: error: stray '`' in program
   10 | ```
      |   ^
",
C++,C#ToC++.c++,./Projects/HelloWorld/Executions2\07-05-2024_17h32m\C#ToC++.c++,1,g++ ./Projects/HelloWorld/Executions2\07-05-2024_17h32m\C#ToC++.c++ -o ./Projects/HelloWorld/Executions2\07-05-2024_17h32m\outputCPP,b'',"C:/MinGWCPP/bin/../lib/gcc/x86_64-w64-mingw32/13.2.0/../../../../x86_64-w64-mingw32/bin/ld.exe: C:/MinGWCPP/bin/../lib/gcc/x86_64-w64-mingw32/13.2.0/../../../../x86_64-w64-mingw32/lib/../lib/libmingw32.a(lib64_libmingw32_a-crtexewin.o): in function `main':
E:\temp\gcc\build-mingw-w64\mingw-w64-crt/../../src/mingw-w64-crt/crt/crtexewin.c:70:(.text.startup+0xbd): undefined reference to `WinMain'
collect2.exe: error: ld returned 1 exit status
",
C++,C#ToC++.c++,./Projects/HelloWorld/Executions2\07-06-2024_09h34m\C#ToC++.c++,1,g++ ./Projects/HelloWorld/Executions2\07-06-2024_09h34m\C#ToC++.c++ -o ./Projects/HelloWorld/Executions2\07-06-2024_09h34m\outputCPP,b'',"./Projects/HelloWorld/Executions2\07-06-2024_09h34m\C#ToC++.c++:7:35: error: expected ',' or '...' before 'args'
    7 |         static void Main(string[] args)
      |                                   ^~~~
",
