language,File Path,C++ToHaskell.hs,returncode,input,Expected,actualy
C,./Projects/HumanEvalX/142/Executions\08-13-2024_21h37m57s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/Executions\08-13-2024_21h37m57s\JavaToC.c,JavaToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-13-2024_21h37m57s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-13-2024_21h39m35s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-13-2024_21h39m35s\JavaToC.c,JavaToC.c,0,"[[1, 2, 3]]",6,"6
14
0
9
-3
0
-126
3030
0
-14196
-1448"
C,./Projects/HumanEvalX/142/Executions\08-13-2024_21h39m35s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,-1
C,./Projects/HumanEvalX/142/Executions\08-13-2024_21h41m21s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-13-2024_21h41m21s\JavaToC.c,JavaToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-13-2024_21h41m21s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/Executions\08-13-2024_21h43m05s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/Executions\08-13-2024_21h43m05s\JavaToC.c,JavaToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-13-2024_21h43m05s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,"6
14
0
9
-3
0
-126
3030
0
-14196
-1448"
C,./Projects/HumanEvalX/142/Executions\08-13-2024_21h44m52s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-13-2024_21h44m52s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
C#,./Projects/HumanEvalX/142/Executions\08-13-2024_21h37m57s\JavascriptToC#.cs,JavascriptToC#.cs,0,"[[1, 2, 3]]",6,
C#,./Projects/HumanEvalX/142/Executions\08-13-2024_21h37m57s\PythonToC#.cs,PythonToC#.cs,0,"[[1, 2, 3]]",6,"6
14
0
9
-3
0
-126
3030
0
-14196
-1448"
C#,./Projects/HumanEvalX/142/Executions\08-13-2024_21h39m35s\JavascriptToC#.cs,JavascriptToC#.cs,0,"[[1, 2, 3]]",6,
C#,./Projects/HumanEvalX/142/Executions\08-13-2024_21h39m35s\PythonToC#.cs,PythonToC#.cs,0,"[[1, 2, 3]]",6,
C#,./Projects/HumanEvalX/142/Executions\08-13-2024_21h41m21s\PythonToC#.cs,PythonToC#.cs,0,"[[1, 2, 3]]",6,
C#,./Projects/HumanEvalX/142/Executions\08-13-2024_21h43m05s\PythonToC#.cs,PythonToC#.cs,0,"[[1, 2, 3]]",6,
C#,./Projects/HumanEvalX/142/Executions\08-13-2024_21h44m52s\JavascriptToC#.cs,JavascriptToC#.cs,0,"[[1, 2, 3]]",6,"6
14
0
9
-3
0
-126
3030
0
-14196
-1448"
C++,./Projects/HumanEvalX/142/Executions\08-13-2024_21h43m05s\JavascriptToC++.c++,JavascriptToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/Executions\08-13-2024_21h37m57s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 4, 9]]",14,6
C++,./Projects/HumanEvalX/142/Executions\08-13-2024_21h39m35s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 4, 9]]",14,6
C++,./Projects/HumanEvalX/142/Executions\08-13-2024_21h39m35s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 4, 9]]",14,6
C++,./Projects/HumanEvalX/142/Executions\08-13-2024_21h44m52s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 4, 9]]",14,6
Haskell,./Projects/HumanEvalX/142/Executions\08-13-2024_21h37m57s\C++ToHaskell.hs,C++ToHaskell.hs,0,"[[1, 2, 3]]",6,0
Haskell,./Projects/HumanEvalX/142/Executions\08-13-2024_21h37m57s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[[1, 2, 3]]",6,Invalid input
Haskell,./Projects/HumanEvalX/142/Executions\08-13-2024_21h39m35s\JavaToHaskell.hs,JavaToHaskell.hs,0,"[[1, 2, 3]]",6,"6
14
0
9
-3
0
-126
3030
0
-14196
-1448"
Haskell,./Projects/HumanEvalX/142/Executions\08-13-2024_21h39m35s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[[1, 2, 3]]",6,Invalid input
Haskell,./Projects/HumanEvalX/142/Executions\08-13-2024_21h43m05s\JavaToHaskell.hs,JavaToHaskell.hs,0,"[[1, 2, 3]]",6,"[6, 14, 0, 9, -3, 0, -126, 3030, 0, -14196, -1448]"
Haskell,./Projects/HumanEvalX/142/Executions\08-13-2024_21h44m52s\JavaToHaskell.hs,JavaToHaskell.hs,0,"[[1, 2, 3]]",6,"6
14
0
9
-3
0
-126
3030
0
-14196
-1448"
Java,./Projects/HumanEvalX/142/Executions\08-13-2024_21h37m57s\PythonToJava.java,PythonToJava.java,0,"[[1, 2, 3]]",6,
Java,./Projects/HumanEvalX/142/Executions\08-13-2024_21h44m52s\PythonToJava.java,PythonToJava.java,0,"[[1, 2, 3]]",6,
Java,./Projects/HumanEvalX/142/Executions\08-13-2024_21h39m35s\PythonToJava.java,PythonToJava.java,0,"[[1, 4, 9]]",14,6
Java,./Projects/HumanEvalX/142/Executions\08-13-2024_21h43m05s\PythonToJava.java,PythonToJava.java,0,"[[1, 4, 9]]",14,6
JavaScript,./Projects/HumanEvalX/142/Executions\08-13-2024_21h37m57s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/Executions\08-13-2024_21h37m57s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/Executions\08-13-2024_21h43m05s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,
JavaScript,./Projects/HumanEvalX/142/Executions\08-13-2024_21h43m05s\JavaToJavascript.js,JavaToJavascript.js,0,"[[1, 2, 3]]",6,
JavaScript,./Projects/HumanEvalX/142/Executions\08-13-2024_21h44m52s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,
Pascal,./Projects/HumanEvalX/142/Executions\08-13-2024_21h43m05s\C++ToPascal.pas,C++ToPascal.pas,0,"[[1, 2, 3]]",6,15129
Pascal,./Projects/HumanEvalX/142/Executions\08-13-2024_21h37m57s\C++ToPascal.pas,C++ToPascal.pas,0,"[[1, 4, 9]]",14,6
