language,File Path,JavascriptToPascal.pas,returncode,input,Expected,actualy
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h39m30s\PythonToC.c,PythonToC.c,0,"[[-1, -1, -1, -1, -1, -1, -1, -1, -1]]",-3,9
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h51m11s\PythonToC.c,PythonToC.c,0,"[[-1, -1, -1, -1, -1, -1, -1, -1, -1]]",-3,9
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h26m11s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,1
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h26m11s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h27m50s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h27m50s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,7
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h29m45s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,7
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h29m45s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h31m33s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h31m33s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h33m24s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h33m24s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h34m55s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h34m55s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h36m28s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h36m28s\JavaToC.c,JavaToC.c,0,"[[1, 2, 3]]",6,605801621
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h36m28s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h38m11s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h39m30s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h40m59s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h40m59s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h42m18s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,7
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h42m18s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,4
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h43m46s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h43m46s\JavaToC.c,JavaToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h43m46s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h45m12s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,5
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h48m14s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h48m14s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h49m37s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h49m37s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h52m33s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0
