language,File Path,C++ToJavascript.js,returncode,input,Expected,actualy
C,./Projects/HumanEvalX/142/Executions\08-19-2024_13h05m17s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-19-2024_13h05m17s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-19-2024_13h07m50s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-19-2024_13h07m50s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/Executions\08-19-2024_13h05m17s\PythonToC++.c++,PythonToC++.c++,3,[[]],0,
Haskell,./Projects/HumanEvalX/142/Executions\08-19-2024_13h05m17s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[[1, 2, 3]]",6,Invalid input format
Haskell,./Projects/HumanEvalX/142/Executions\08-19-2024_13h07m50s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/Executions\08-19-2024_13h05m17s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,30
JavaScript,./Projects/HumanEvalX/142/Executions\08-19-2024_13h07m50s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,0
Pascal,./Projects/HumanEvalX/142/Executions\08-19-2024_13h05m17s\C++ToPascal.pas,C++ToPascal.pas,0,"[[1, 2, 3]]",6,30
Pascal,./Projects/HumanEvalX/142/Executions\08-19-2024_13h07m50s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[1, 2, 3]]",6,3
