language,File Path,PythonToC.c,returncode,input,Expected,actualy
C,./Projects/HumanEvalX/142/ExecutionsExp7Run2\08-22-2024_10h41m19s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp7Run2\08-22-2024_10h48m07s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,30
C,./Projects/HumanEvalX/142/ExecutionsExp7Run2\08-22-2024_10h48m07s\JavascriptToC.c,JavascriptToC.c,0,[[]],0,1015134464
C,./Projects/HumanEvalX/142/ExecutionsExp7Run2\08-22-2024_10h48m07s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
Java,./Projects/HumanEvalX/142/ExecutionsExp7Run2\08-22-2024_10h48m07s\PythonToJava.java,PythonToJava.java,0,"[[1, 2, 3]]",6,4
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp7Run2\08-22-2024_10h54m57s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,30
C,./Projects/HumanEvalX/142/ExecutionsExp7Run2\08-22-2024_10h54m57s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp7Run2\08-22-2024_11h01m50s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,30
C++,./Projects/HumanEvalX/142/ExecutionsExp7Run2\08-22-2024_11h01m50s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp7Run2\08-22-2024_11h01m50s\PythonToC.c,PythonToC.c,0,"[[1, 4, 9]]",14,6
C,./Projects/HumanEvalX/142/ExecutionsExp7Run2\08-22-2024_11h08m11s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
