language,File Path,JavascriptToC.c,returncode,input,Expected,actualy
C,./Projects/HumanEvalX/142/ExecutionsExp8Run2\08-23-2024_14h12m52s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run2\08-23-2024_14h12m52s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run2\08-23-2024_14h17m06s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run2\08-23-2024_14h21m45s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run2\08-23-2024_14h21m45s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run2\08-23-2024_14h25m57s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run2\08-23-2024_14h30m01s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0.0
C#,./Projects/HumanEvalX/142/ExecutionsExp8Run2\08-23-2024_14h25m57s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,0.0
C#,./Projects/HumanEvalX/142/ExecutionsExp8Run2\08-23-2024_14h30m01s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,0.0
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run2\08-23-2024_14h12m52s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,0.0
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run2\08-23-2024_14h17m06s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run2\08-23-2024_14h30m01s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
Java,./Projects/HumanEvalX/142/ExecutionsExp8Run2\08-23-2024_14h30m01s\PythonToJava.java,PythonToJava.java,0,"[[1, 2, 3]]",6,4.0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run2\08-23-2024_14h21m45s\C++ToJavascript.js,C++ToJavascript.js,0,"[[-56, -99, 1, 0, -2]]",3030,3042.0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run2\08-23-2024_14h17m06s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0.0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run2\08-23-2024_14h25m57s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,30.0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run2\08-23-2024_14h30m01s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0.0
