language,File Path,C++ToC.c,returncode,input,Expected,actualy
C,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h08m49s\C++ToC.c,C++ToC.c,0,"[[1, 2, 3]]",6,36.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h08m49s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,5.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h08m49s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h15m28s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h15m28s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h22m23s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h22m23s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h29m11s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h29m11s\JavaToC.c,JavaToC.c,0,"[[1, 2, 3]]",6,0.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h29m11s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h35m55s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h35m55s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0.0
C#,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h15m28s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,4.0
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h15m28s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h22m23s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,0.0
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h29m11s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 2, 3]]",6,0.0
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h29m11s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h35m55s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,0.0
Haskell,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h15m28s\C++ToHaskell.hs,C++ToHaskell.hs,0,"[[1, 2, 3]]",6,15129.0
Haskell,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h35m55s\C++ToHaskell.hs,C++ToHaskell.hs,0,"[[1, 2, 3]]",6,3.0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h08m49s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,30.0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h15m28s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h15m28s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0.0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h22m23s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0.0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h35m55s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0.0
Pascal,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h22m23s\C++ToPascal.pas,C++ToPascal.pas,0,"[[-1, -1, -1, -1, -1, -1, -1, -1, -1]]",-3,0.0
Python,./Projects/HumanEvalX/142/ExecutionsExp8Run5_2\08-26-2024_12h29m11s\JavascriptToPython.py,JavascriptToPython.py,0,"[[-1, -1, -1, -1, -1, -1, -1, -1, -1]]",-3,-5.0
