language,File Path,C++ToC#.cs,returncode,input,Expected,actualy
C,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h19m26s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h23m46s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h23m46s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h28m05s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h28m05s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h32m25s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h32m25s\JavaToC.c,JavaToC.c,0,"[[1, 2, 3]]",6,4
C,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h32m25s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h36m42s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h36m42s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
C#,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h19m26s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,4
C#,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h23m46s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,No input provided.
C#,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h36m42s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,4
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h19m26s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h23m46s\JavaToC++.c++,JavaToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h28m05s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h32m25s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h36m42s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h23m46s\JavascriptToC++.c++,JavascriptToC++.c++,3,[[]],0,
Haskell,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h28m05s\C++ToHaskell.hs,C++ToHaskell.hs,0,"[[-1, -1, -1, -1, -1, -1, -1, -1, -1]]",-3,9
Haskell,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h23m46s\C++ToHaskell.hs,C++ToHaskell.hs,0,"[[1, 2, 3]]",6,0
Java,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h23m46s\C++ToJava.java,C++ToJava.java,0,"[[1, 2, 3]]",6,Please provide input.
Java,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h32m25s\C++ToJava.java,C++ToJava.java,0,"[[1, 2, 3]]",6,Please provide input in the expected format.
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h23m46s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,30
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h23m46s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h32m25s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
Pascal,./Projects/HumanEvalX/142/ExecutionsExp8Run7_2\08-27-2024_15h19m26s\C++ToPascal.pas,C++ToPascal.pas,0,"[[1, 2, 3]]",6,41
