language,File Path,C++ToPascal.pas,returncode,input,Expected,actualy
C,./Projects/HumanEvalX/142/ExecutionsExp8Run7_3\08-28-2024_06h00m44s\C++ToC.c,C++ToC.c,0,"[[-1, -1, -1, -1, -1, -1, -1, -1, -1]]",-3,-5
C,./Projects/HumanEvalX/142/ExecutionsExp8Run7_3\08-28-2024_05h47m27s\JavascriptToC.c,JavascriptToC.c,0,"[[-16, -9, -2, 36, 36, 26, -20, 25, -40, 20, -4, 12, -26, 35, 37]]",-14196,-14952
C,./Projects/HumanEvalX/142/ExecutionsExp8Run7_3\08-28-2024_05h54m07s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,5
C,./Projects/HumanEvalX/142/ExecutionsExp8Run7_3\08-28-2024_06h00m44s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,1039
C,./Projects/HumanEvalX/142/ExecutionsExp8Run7_3\08-28-2024_06h07m28s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
C#,./Projects/HumanEvalX/142/ExecutionsExp8Run7_3\08-28-2024_05h47m27s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,4
C#,./Projects/HumanEvalX/142/ExecutionsExp8Run7_3\08-28-2024_05h54m07s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,4
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run7_3\08-28-2024_05h41m13s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run7_3\08-28-2024_05h47m27s\JavascriptToC++.c++,JavascriptToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run7_3\08-28-2024_05h47m27s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run7_3\08-28-2024_05h54m07s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run7_3\08-28-2024_06h00m44s\JavaToC++.c++,JavaToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run7_3\08-28-2024_06h00m44s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run7_3\08-28-2024_06h07m28s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run7_3\08-28-2024_06h07m28s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,5
Haskell,./Projects/HumanEvalX/142/ExecutionsExp8Run7_3\08-28-2024_05h54m07s\C++ToHaskell.hs,C++ToHaskell.hs,0,"[[1, 2, 3]]",6,4
Java,./Projects/HumanEvalX/142/ExecutionsExp8Run7_3\08-28-2024_05h47m27s\JavascriptToJava.java,JavascriptToJava.java,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run7_3\08-28-2024_05h41m13s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run7_3\08-28-2024_05h47m27s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run7_3\08-28-2024_05h54m07s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,Enter input:
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run7_3\08-28-2024_06h00m44s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run7_3\08-28-2024_06h07m28s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
Pascal,./Projects/HumanEvalX/142/ExecutionsExp8Run7_3\08-28-2024_05h41m13s\C++ToPascal.pas,C++ToPascal.pas,0,"[[-1, -1, -1, -1, -1, -1, -1, -1, -1]]",-3,-2416167
