language,File Path,JavascriptToPascal.pas,returncode,input,Expected,actualy
C,./Projects/HumanEvalX/142/ExecutionsExp9Run6\08-28-2024_14h36m43s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0.0
C,./Projects/HumanEvalX/142/ExecutionsExp9Run6\08-28-2024_14h36m43s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp9Run6\08-28-2024_14h51m41s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,4
C,./Projects/HumanEvalX/142/ExecutionsExp9Run6\08-28-2024_14h51m41s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp9Run6\08-28-2024_15h07m09s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp9Run6\08-28-2024_15h24m29s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C#,./Projects/HumanEvalX/142/ExecutionsExp9Run6\08-28-2024_14h36m43s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp9Run6\08-28-2024_14h22m15s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp9Run6\08-28-2024_15h24m29s\JavaToJavascript.js,JavaToJavascript.js,0,"[[1, 2, 3]]",6,
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp9Run6\08-28-2024_15h24m29s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
Pascal,./Projects/HumanEvalX/142/ExecutionsExp9Run6\08-28-2024_14h22m15s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[1, 2, 3]]",6,4
Pascal,./Projects/HumanEvalX/142/ExecutionsExp9Run6\08-28-2024_14h36m43s\C++ToPascal.pas,C++ToPascal.pas,0,"[[1, 2, 3]]",6,1
Pascal,./Projects/HumanEvalX/142/ExecutionsExp9Run6\08-28-2024_15h07m09s\JavascriptToPascal.pas,JavascriptToPascal.pas,1,"[[1, 2, 3]]",6,Error parsing JSON: No JSON parser handler installed. Recompile your project with the jsonparser unit included
Python,./Projects/HumanEvalX/142/ExecutionsExp9Run6\08-28-2024_14h36m43s\C++ToPython.py,C++ToPython.py,0,"[[-1, -1, -1, -1, -1, -1, -1, -1, -1]]",-3,0
