language,File Path,C++ToJava.java,returncode,input,Expected,actualy
C,./Projects/HumanEvalX/142/ExecutionsExp9Run7\08-28-2024_17h05m46s\JavascriptToC.c,JavascriptToC.c,3221226356,"[[1, 1, 1, 1, 1, 1, 1, 1, 1]]",9,
C,./Projects/HumanEvalX/142/ExecutionsExp9Run7\08-28-2024_16h31m28s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp9Run7\08-28-2024_16h31m28s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp9Run7\08-28-2024_17h05m46s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,1
C,./Projects/HumanEvalX/142/ExecutionsExp9Run7\08-28-2024_17h22m39s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp9Run7\08-28-2024_17h22m39s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp9Run7\08-28-2024_16h47m28s\JavascriptToC.c,JavascriptToC.c,0,[[]],0,608286976
C#,./Projects/HumanEvalX/142/ExecutionsExp9Run7\08-28-2024_16h31m28s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,
C#,./Projects/HumanEvalX/142/ExecutionsExp9Run7\08-28-2024_17h05m46s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,Please provide input as an argument.
C#,./Projects/HumanEvalX/142/ExecutionsExp9Run7\08-28-2024_17h22m39s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,Please provide input as a command line argument.
C++,./Projects/HumanEvalX/142/ExecutionsExp9Run7\08-28-2024_15h44m49s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp9Run7\08-28-2024_16h31m28s\JavascriptToC++.c++,JavascriptToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp9Run7\08-28-2024_16h31m28s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp9Run7\08-28-2024_16h47m28s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp9Run7\08-28-2024_17h05m46s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp9Run7\08-28-2024_17h05m46s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp9Run7\08-28-2024_17h22m39s\JavascriptToC++.c++,JavascriptToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp9Run7\08-28-2024_17h22m39s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
Java,./Projects/HumanEvalX/142/ExecutionsExp9Run7\08-28-2024_15h44m49s\C++ToJava.java,C++ToJava.java,0,"[[1, 2, 3]]",6,
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp9Run7\08-28-2024_15h44m49s\C++ToJavascript.js,C++ToJavascript.js,0,"[[-1, -1, -1, -1, -1, -1, -1, -1, -1]]",-3,9
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp9Run7\08-28-2024_17h05m46s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,30
Python,./Projects/HumanEvalX/142/ExecutionsExp9Run7\08-28-2024_17h22m39s\C++ToPython.py,C++ToPython.py,0,"[[-1, -1, -1, -1, -1, -1, -1, -1, -1]]",-3,0
