language,filename,DirPath,Returncode,Command,Output,Stdout,Stderr
C++,CToC++.c++,./Projects/PrimeNumber/Executions1\07-27-2024_22h04m28s\CToC++.c++,1,g++ ./Projects/PrimeNumber/Executions1\07-27-2024_22h04m28s\CToC++.c++ -o ./Projects/PrimeNumber/Executions1\07-27-2024_22h04m28s\outputCPP,b'',"./Projects/PrimeNumber/Executions1\07-27-2024_22h04m28s\CToC++.c++: In member function 'bool PrimeChecker::is_int(const std::string&)':
./Projects/PrimeNumber/Executions1\07-27-2024_22h04m28s\CToC++.c++:31:17: error: expected ';' before 'return'
   31 |                 return true;
      |                 ^~~~~~
./Projects/PrimeNumber/Executions1\07-27-2024_22h04m28s\CToC++.c++:32:9: error: expected primary-expression before '}' token
   32 |         }
      |         ^
./Projects/PrimeNumber/Executions1\07-27-2024_22h04m28s\CToC++.c++:32:9: error: expected ')' before '}' token
./Projects/PrimeNumber/Executions1\07-27-2024_22h04m28s\CToC++.c++:30:16: note: to match this '('
   30 |             if (!isdigit(ch)
      |                ^
./Projects/PrimeNumber/Executions1\07-27-2024_22h04m28s\CToC++.c++:32:9: error: expected primary-expression before '}' token
   32 |         }
      |         ^
",
Haskell,C#ToHaskell.hs,./Projects/PrimeNumber/Executions1\07-27-2024_13h06m26s\C#ToHaskell.hs,1,ghc ./Projects/PrimeNumber/Executions1\07-27-2024_13h06m26s\C#ToHaskell.hs -o ./Projects/PrimeNumber/Executions1\07-27-2024_13h06m26s\outputHS,"b'[1 of 2] Compiling Main             ( Projects\\PrimeNumber\\Executions1\\07-27-2024_13h06m26s\\C#ToHaskell.hs, Projects\\PrimeNumber\\Executions1\\07-27-2024_13h06m26s\\C#ToHaskell.o )\r\n'","Projects\PrimeNumber\Executions1\07-27-2024_13h06m26s\C#ToHaskell.hs:22:26: error: [GHC-58481]
    parse error on input `import'
   |
22 | Note: Ensure to include `import System.Environment (getArgs)` at the top if compiling with GHC as `getArgs` is used to read command line arguments.
   |                          ^^^^^^

",
Haskell,C#ToHaskell.hs,./Projects/PrimeNumber/Executions1\07-27-2024_22h01m29s\C#ToHaskell.hs,1,ghc ./Projects/PrimeNumber/Executions1\07-27-2024_22h01m29s\C#ToHaskell.hs -o ./Projects/PrimeNumber/Executions1\07-27-2024_22h01m29s\outputHS,"b'[1 of 2] Compiling Main             ( Projects\\PrimeNumber\\Executions1\\07-27-2024_22h01m29s\\C#ToHaskell.hs, Projects\\PrimeNumber\\Executions1\\07-27-2024_22h01m29s\\C#ToHaskell.o )\r\n'","Projects\PrimeNumber\Executions1\07-27-2024_22h01m29s\C#ToHaskell.hs:19:45: error: [GHC-88464]
    Variable not in scope: listToMaybe :: [String] -> Maybe String
    Suggested fix:
      Add `listToMaybe' to the import list in the import of `Data.Maybe'
      (at Projects\PrimeNumber\Executions1\07-27-2024_22h01m29s\C#ToHaskell.hs:6:1-29).
   |
19 |     let n = fromMaybe (-1) (fmap readMaybe (listToMaybe args)) :: Integer
   |                                             ^^^^^^^^^^^

",
Haskell,C#ToHaskell.hs,./Projects/PrimeNumber/Executions1\07-27-2024_22h07m17s\C#ToHaskell.hs,1,ghc ./Projects/PrimeNumber/Executions1\07-27-2024_22h07m17s\C#ToHaskell.hs -o ./Projects/PrimeNumber/Executions1\07-27-2024_22h07m17s\outputHS,"b'[1 of 2] Compiling Main             ( Projects\\PrimeNumber\\Executions1\\07-27-2024_22h07m17s\\C#ToHaskell.hs, Projects\\PrimeNumber\\Executions1\\07-27-2024_22h07m17s\\C#ToHaskell.o )\r\n'","Projects\PrimeNumber\Executions1\07-27-2024_22h07m17s\C#ToHaskell.hs:11:13: error: [GHC-88464]
    Variable not in scope: getArgs :: IO [String]
   |
11 |     args <- getArgs
   |             ^^^^^^^

",
Haskell,C++ToHaskell.hs,./Projects/PrimeNumber/Executions1\07-27-2024_22h01m29s\C++ToHaskell.hs,1,ghc ./Projects/PrimeNumber/Executions1\07-27-2024_22h01m29s\C++ToHaskell.hs -o ./Projects/PrimeNumber/Executions1\07-27-2024_22h01m29s\outputHS,"b'[1 of 2] Compiling Main             ( Projects\\PrimeNumber\\Executions1\\07-27-2024_22h01m29s\\C++ToHaskell.hs, Projects\\PrimeNumber\\Executions1\\07-27-2024_22h01m29s\\C++ToHaskell.o )\r\n'","Projects\PrimeNumber\Executions1\07-27-2024_22h01m29s\C++ToHaskell.hs:4:17: error: [GHC-61689]
    Module `Numeric' does not export `readMaybe'.
  |
4 | import Numeric (readMaybe)
  |                 ^^^^^^^^^

",
Haskell,JavaToHaskell.hs,./Projects/PrimeNumber/Executions1\07-27-2024_13h09m23s\JavaToHaskell.hs,1,ghc ./Projects/PrimeNumber/Executions1\07-27-2024_13h09m23s\JavaToHaskell.hs -o ./Projects/PrimeNumber/Executions1\07-27-2024_13h09m23s\outputHS,"b'[1 of 2] Compiling Main             ( Projects\\PrimeNumber\\Executions1\\07-27-2024_13h09m23s\\JavaToHaskell.hs, Projects\\PrimeNumber\\Executions1\\07-27-2024_13h09m23s\\JavaToHaskell.o )\r\n'","Projects\PrimeNumber\Executions1\07-27-2024_13h09m23s\JavaToHaskell.hs:21:13: error: [GHC-88464]
    Variable not in scope: getArgs :: IO [String]
   |
21 |     args <- getArgs
   |             ^^^^^^^

",
Haskell,JavaToHaskell.hs,./Projects/PrimeNumber/Executions1\07-27-2024_22h01m29s\JavaToHaskell.hs,1,ghc ./Projects/PrimeNumber/Executions1\07-27-2024_22h01m29s\JavaToHaskell.hs -o ./Projects/PrimeNumber/Executions1\07-27-2024_22h01m29s\outputHS,"b'[1 of 2] Compiling Main             ( Projects\\PrimeNumber\\Executions1\\07-27-2024_22h01m29s\\JavaToHaskell.hs, Projects\\PrimeNumber\\Executions1\\07-27-2024_22h01m29s\\JavaToHaskell.o )\r\n'","Projects\PrimeNumber\Executions1\07-27-2024_22h01m29s\JavaToHaskell.hs:6:10: error: [GHC-76037]
    Not in scope: type constructor or class `Exception'
    Suggested fix:
      Add `Exception' to the import list in the import of
      `Control.Exception'
      (at Projects\PrimeNumber\Executions1\07-27-2024_22h01m29s\JavaToHaskell.hs:1:1-45).
  |
6 | instance Exception PrimeNumberException
  |          ^^^^^^^^^

",
Haskell,JavaToHaskell.hs,./Projects/PrimeNumber/Executions1\07-27-2024_22h04m28s\JavaToHaskell.hs,1,ghc ./Projects/PrimeNumber/Executions1\07-27-2024_22h04m28s\JavaToHaskell.hs -o ./Projects/PrimeNumber/Executions1\07-27-2024_22h04m28s\outputHS,"b'[1 of 2] Compiling Main             ( Projects\\PrimeNumber\\Executions1\\07-27-2024_22h04m28s\\JavaToHaskell.hs, Projects\\PrimeNumber\\Executions1\\07-27-2024_22h04m28s\\JavaToHaskell.o )\r\n'","Projects\PrimeNumber\Executions1\07-27-2024_22h04m28s\JavaToHaskell.hs:19:13: error: [GHC-88464]
    Variable not in scope: getArgs :: IO [String]
   |
19 |     args <- getArgs
   |             ^^^^^^^

",
Haskell,JavascriptToHaskell.hs,./Projects/PrimeNumber/Executions1\07-27-2024_13h06m26s\JavascriptToHaskell.hs,1,ghc ./Projects/PrimeNumber/Executions1\07-27-2024_13h06m26s\JavascriptToHaskell.hs -o ./Projects/PrimeNumber/Executions1\07-27-2024_13h06m26s\outputHS,"b'[1 of 2] Compiling Main             ( Projects\\PrimeNumber\\Executions1\\07-27-2024_13h06m26s\\JavascriptToHaskell.hs, Projects\\PrimeNumber\\Executions1\\07-27-2024_13h06m26s\\JavascriptToHaskell.o )\r\n'","Projects\PrimeNumber\Executions1\07-27-2024_13h06m26s\JavascriptToHaskell.hs:12:32: error: [GHC-83865]
    * Couldn't match type `[]' with `Maybe'
      Expected: Maybe String
        Actual: [String]
    * In the second argument of `fmap', namely `args'
      In the expression: fmap readMaybe args :: Maybe (Maybe Int)
      In an equation for `input':
          input = fmap readMaybe args :: Maybe (Maybe Int)
   |
12 |     let input = fmap readMaybe args :: Maybe (Maybe Int)
   |                                ^^^^

",
Haskell,JavascriptToHaskell.hs,./Projects/PrimeNumber/Executions1\07-27-2024_13h09m23s\JavascriptToHaskell.hs,1,ghc ./Projects/PrimeNumber/Executions1\07-27-2024_13h09m23s\JavascriptToHaskell.hs -o ./Projects/PrimeNumber/Executions1\07-27-2024_13h09m23s\outputHS,"b'[1 of 2] Compiling Main             ( Projects\\PrimeNumber\\Executions1\\07-27-2024_13h09m23s\\JavascriptToHaskell.hs, Projects\\PrimeNumber\\Executions1\\07-27-2024_13h09m23s\\JavascriptToHaskell.o )\r\n'","Projects\PrimeNumber\Executions1\07-27-2024_13h09m23s\JavascriptToHaskell.hs:8:11: error: [GHC-88464]
    Variable not in scope: getArgs :: IO [String]
  |
8 |   args <- getArgs
  |           ^^^^^^^

Projects\PrimeNumber\Executions1\07-27-2024_13h09m23s\JavascriptToHaskell.hs:10:16: error: [GHC-88464]
    Variable not in scope: readMaybe :: String -> Maybe Int
   |
10 |       number = readMaybe input :: Maybe Int
   |                ^^^^^^^^^

",
